SINIF,YORUM
Heavy Snow,One to ten inches of snow fell across northwestern Middlesex County.
Heavy Snow,Between 4 and 6 inches of snow fell across the county.
Heavy Snow,Between 2 and 4 inches of snow fell across the county.
Heavy Snow,Between 3 and 4 inches of snow fell across the county.
Heavy Snow,Between 4 and 6 inches of snow fell across the county.
Heavy Snow,Between 5 and 6 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Heavy Snow,Between 2 and 4 inches of snow fell across the county.
Heavy Snow,The Taylor County emergency manager reported that between 5 and 7 inches of snow fell across the county.
Heavy Snow,Between 4 and 5 inches of snow fell across the county.
Winter Storm,
Winter Storm,
Winter Storm,
High Wind,
High Wind,
High Wind,
High Wind,
High Wind,
Tornado,The tornado initially touched down just west of Mississippi Highway 27 southwest of Tylertown
Winter Weather,An estimated 2.0 inches of snow fell in Harrison. 2.5 to 3.0 inches of snow was reported in Ridgeway by Social Media.
Winter Weather,An estimated 1.0 inch of snow fell at Hardy.
Winter Weather,An estimated 1.0 inch of snow fell at Yellville...estimated by the Sheriffs office.
Tornado,The tornado began just to the west of Highway 429
Tornado,The tornado began along Highway 51 just southwest of Wesson. As it tracked northeast
Thunderstorm Wind,A tree was blown down across Farm to Market Road 782 and Farm to Market Road 1716.
Thunderstorm Wind,A picture was posted to the KLTV Facebook page of a small tree that was blown down behind a home in Lindale.
Hail,A long lasting severe thunderstorm moved from Polk County into northwest Osceola County and dropped hail between quarter and golf ball size for over 10 minutes. The hail piled up to over a foot deep at the peak of the storm in portions of Poinciana. Some hail damage occurred to the siding of homes
Thunderstorm Wind,Public reports indicated roof damage to manufactured homes within the Cypress Cove Nudist Resort in Poinciana. About a mile southwest of Cypress Cove
Hail,A trained weather spotter reported quarter size hail near Lezze Road and Shirley Shores Drive in Tavares as a severe thunderstorm moved east across the area. Multiple other public reports of quarter sized hail were also received.
Thunderstorm Wind,A trained weather spotter observed dozens of trees snapped and uprooted near the Squirrel Point Subdivision in Tavares. Photos provided confirmed the wind damage.
Hail,Public reported nickel size hail near the intersection of Highway 34 and Broad River Road.
Thunderstorm Wind,Damaging thunderstorm winds tipped over an irrigation sprinkler
Hail,
Hail,
Thunderstorm Wind,Damaging thunderstorm winds broke tree branches.
Hail,Quarter to ping pong ball size hail was estimated by a member of the public.
Hail,
Hail,
Winter Weather,Slick roads due to snowfall amounts ranging from 2 to 4 inches resulted in several reports of automobile accidents
Winter Weather,Slick roads due to snowfall amounts ranging from 2 to 4 inches resulted in several reports of automobile accidents
Winter Storm,
Winter Storm,
Hail,The hail
Hail,The hail ranged from nickel to quarter-sized.
Hail,
Strong Wind,
Hail,
Hail,The hail occurred at the Matfield Green service plaza on the Kansas Turnpike.
Hail,The report was received via Twitter.
Lightning,Two campers were injured by a lightning strike near North-South Lake in Greene County.  The two campers
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,Scattered tree limbs down.
High Wind,Scattered downed trees and limbs across the county with some falling on power lines. Around 2
High Wind,Scattered downed trees and limbs across the county with some falling on power lines.
Winter Weather,
Winter Weather,Between 2-5 inches was reported across the county.
Winter Weather,Between 2-5 inches was reported across the county.
Winter Weather,Between 1-2 inches was reported across the county
Winter Weather,Between 1-2 inches was reported across the county
Winter Weather,Between 1-2 inches was reported across the county
Winter Weather,Between 1-2 inches was reported across the county
Winter Weather,Between 1-2 inches was reported across the county
Heavy Snow,Spotter measured 16 inches of snow total from storm south of Soda Springs in Bear Lake County just south of Caribou County line.   Emigrant Summit SNOTEL site also recorded 16 inches of snow.
Funnel Cloud,A cold air funnel cloud was photographed near Idaho Falls late in the morning on March 28th.
Hail,
Thunderstorm Wind,Several large limbs were downed across the area.
Thunderstorm Wind,A large tree was downed near the intersection of County Road 400 N and north County Road 450 W.
Thunderstorm Wind,A tree was knocked down at the intersection of US 27 and Esteb Road.
Thunderstorm Wind,
Thunderstorm Wind,A tree was downed across Crawfordsville Campbellstown Road near New Hope.
Thunderstorm Wind,A roof was blown off of a garage located on Rockridge Road. A neighboring house sustained wind damage and a pole barn was destroyed.
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
Winter Storm,Brian Head Resort received a storm total of 27 inches of snow.
High Wind,A peak wind gust of 85 mph was reported at San Augustin Pass. Other reported gusts included 73 mph at Emre on the White Sands Missile Range and 62 mph at the White Sands Missile Range Museum.
Funnel Cloud,A persistent wall cloud with funnel was observed by a spotter who was located about two miles north of Badger.
Flash Flood,
Hail,
Thunderstorm Wind,Thunderstorm winds moved a grain bin off of it's foundation.
Tornado,Intermittent brief touchdowns recorded by storm chasers in open fields to the west
Thunderstorm Wind,Thunderstorm winds destroyed a couple of smaller sheds on a farm.
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Trees down on Highway 37.
Thunderstorm Wind,Trees down along Highway 82 east of Clarksville.
Flash Flood,Highway 147 closed near Arcadia due to flooding.
Flash Flood,Highway 146 about 1 mile west of Highway 545 was closed due to high water.
Thunderstorm Wind,A social media report indicated damage to the roof of the Ice Center near Birdville High School in North Richland Hills
Thunderstorm Wind,A social media report showed damage to a brick home
Thunderstorm Wind,A social media report indicated damage at a Tarrant Community College Northwest Campus building.
Hail,
Hail,
Hail,
Hail,
Winter Weather,Snow
Winter Weather,Snow
Winter Weather,Snow
Winter Weather,Snow
Winter Weather,Snow
Winter Weather,Snow
Marine Thunderstorm Wind,A wind gust of 35 knots was measured at an automated Weatherlink station on Shark Key.
Waterspout,A waterspout was observed was a condensation funnel extending one quarter of the way down from cloud base.  The waterspout had a 45-degree tilt and appeared to be in a dissipation stage.  No spray ring was visible due to an obstructed view.
High Wind,The Flynn Prairie RAWS recorded gusts exceeding 57 mph continuously during this interval.  The peak gust was 63 mph recorded at 01/0813 PST and 01/1013 PST.
High Wind,The Bolam RAWS recorded a gust to 61 mph at 16/0903 PST and 16/1103 PST.  The peak gust was 64 mph recorded at 16/1003 PST.
High Wind,The Squaw Peak RAWS recorded a gust to 87 mph at 01/1039 PST.
High Wind,The Calimus RAWS recorded a gust to 63 mph at 01/1300 PST.
High Wind,The Coffee Pot Flat RAWS recorded a gust to 59 mph at 01/1144 PST and a gust to 62 mph at 01/1244 PST.
High Wind,The Flynn Prairie RAWS recorded a gust to 59 mph at 02/1413 PST and a gust to 60 mph at 02/1613 PST.
High Wind,The Summer Lake RAWS recorded a gust to 62 mph at 02/0238 PST.
High Wind,The Van Bremmer RAWS recorded a gust to 59 mph at 05/1731 PST.
Rip Current,A 16 year old boy from Mansfield
Thunderstorm Wind,A social media report indicated damage to the roof of Porter Elementary School in Hurst
Marine Thunderstorm Wind,Mustang A85A Platform AWOS measured a gust to 65 knots.
Marine Thunderstorm Wind,Mesonet site at Laquinta Ship Channel measured a gust to 42 knots.
Marine Thunderstorm Wind,TCOON site at Port Aransas measured a gust to 42 knots.
Flash Flood,Heavy rain produced flash flooding in Weiner. Water over six inches deep was common in the residential areas of Weiner.
Hail,
Dense Fog,Areas of dense fog developed during the early morning hours of March 1st.  WJHG reported that a traffic accident occurred with fog a likely contributor.  One fatality resulted near the intersection of Star Ave. and Highway 231.
High Wind,The Port Orford NOS-NWLON recorded several gusts exceeding 57 mph during this interval.  The peak gust was 62 mph recorded at 01/0918 PST.
Heavy Snow,A trained spotter reported 5.5 inches of new snow 2 miles southeast of Davis Lake
High Wind,A trained spotter reported an estimated wind gusts of 63 mph 1 mile east southeast of Palouse
Thunderstorm Wind,A swath of thunderstorm wind damage was observed east of London. An NWS storm survey revealed that mobile home damage off of Sasser School Road near Highway 229 was caused by approximately 60 mph winds that hit the trailer perpendicular and lifted the roof off. A few injuries were reported. Just to the east over the ridge along Highway 80 near Bush Elementary School
Thunderstorm Wind,County dispatch relayed reports of multiple trees down from Stinnett to Cutshin.
Debris Flow,A trained spotter reported that rocks and a tree came off of a burn scar (Likely a burn scar from the Kettle North Complex of 2015) in the Deadman Creek Drainage above Boyds and covered half of Deadman Creek Road.
Winter Weather,A light snow began late Thursday evening and continued for most of the overnight hours
Thunderstorm Wind,Trees and power lines were downed on Highway 1113 in Maud.
Tornado,Small tornado was apparently embedded within a bow echo that moved across Silver Lake.  The straight line winds associated with the bow echo produced more widespread damage both north and south of highway 24 where several irrigation pivots were overturned.  A more concentrated area of tree and minor structural damage occurred south of highway 24 beginning in southwest parts of Silver Lake and continuing ENE for approximately 1.5 miles.  One outbuilding was severely damaged where appeared the wind entered on the southwest side and contributed to the failure of the structure.
Thunderstorm Wind,Fence blown down along with tree limbs from thunderstorm winds.
